,날짜,자치구,확진자,위도,경도
0,2022-10-31,종로구,35,37.5720164,127.0050075
1,2022-10-30,종로구,82,37.5720164,127.0050075
2,2022-10-29,종로구,104,37.5720164,127.0050075
3,2022-10-28,종로구,94,37.5720164,127.0050075
4,2022-10-27,종로구,77,37.5720164,127.0050075
5,2022-10-26,종로구,90,37.5720164,127.0050075
6,2022-10-25,종로구,136,37.5720164,127.0050075
7,2022-10-24,종로구,21,37.5720164,127.0050075
8,2022-10-23,종로구,49,37.5720164,127.0050075
9,2022-10-22,종로구,71,37.5720164,127.0050075
10,2022-10-21,종로구,67,37.5720164,127.0050075
11,2022-10-20,종로구,79,37.5720164,127.0050075
12,2022-10-19,종로구,84,37.5720164,127.0050075
13,2022-10-18,종로구,93,37.5720164,127.0050075
14,2022-10-17,종로구,30,37.5720164,127.0050075
15,2022-10-16,종로구,53,37.5720164,127.0050075
16,2022-10-15,종로구,53,37.5720164,127.0050075
17,2022-10-14,종로구,61,37.5720164,127.0050075
18,2022-10-13,종로구,75,37.5720164,127.0050075
19,2022-10-12,종로구,83,37.5720164,127.0050075
20,2022-10-11,종로구,30,37.5720164,127.0050075
21,2022-10-10,종로구,22,37.5720164,127.0050075
22,2022-10-09,종로구,43,37.5720164,127.0050075
23,2022-10-08,종로구,55,37.5720164,127.0050075
24,2022-10-07,종로구,68,37.5720164,127.0050075
25,2022-10-06,종로구,102,37.5720164,127.0050075
26,2022-10-05,종로구,128,37.5720164,127.0050075
27,2022-10-04,종로구,42,37.5720164,127.0050075
28,2022-10-03,종로구,26,37.5720164,127.0050075
29,2022-10-02,종로구,63,37.5720164,127.0050075
30,2022-10-01,종로구,67,37.5720164,127.0050075
31,2022-09-30,종로구,65,37.5720164,127.0050075
32,2022-09-29,종로구,69,37.5720164,127.0050075
33,2022-09-28,종로구,85,37.5720164,127.0050075
34,2022-09-27,종로구,115,37.5720164,127.0050075
35,2022-09-26,종로구,22,37.5720164,127.0050075
36,2022-09-25,종로구,52,37.5720164,127.0050075
37,2022-09-24,종로구,64,37.5720164,127.0050075
38,2022-09-23,종로구,78,37.5720164,127.0050075
39,2022-09-22,종로구,89,37.5720164,127.0050075
40,2022-09-21,종로구,83,37.5720164,127.0050075
41,2022-09-20,종로구,138,37.5720164,127.0050075
42,2022-09-19,종로구,39,37.5720164,127.0050075
43,2022-09-18,종로구,68,37.5720164,127.0050075
44,2022-09-17,종로구,107,37.5720164,127.0050075
45,2022-09-16,종로구,146,37.5720164,127.0050075
46,2022-09-15,종로구,163,37.5720164,127.0050075
47,2022-09-14,종로구,229,37.5720164,127.0050075
48,2022-09-13,종로구,89,37.5720164,127.0050075
49,2022-09-12,종로구,81,37.5720164,127.0050075
50,2022-09-11,종로구,58,37.5720164,127.0050075
51,2022-09-10,종로구,58,37.5720164,127.0050075
52,2022-09-09,종로구,186,37.5720164,127.0050075
53,2022-09-08,종로구,164,37.5720164,127.0050075
54,2022-09-07,종로구,189,37.5720164,127.0050075
55,2022-09-06,종로구,254,37.5720164,127.0050075
56,2022-09-05,종로구,76,37.5720164,127.0050075
57,2022-09-04,종로구,165,37.5720164,127.0050075
58,2022-09-03,종로구,154,37.5720164,127.0050075
59,2022-09-02,종로구,190,37.5720164,127.0050075
60,2022-09-01,종로구,204,37.5720164,127.0050075
61,2022-08-31,종로구,211,37.5720164,127.0050075
62,2022-08-30,종로구,280,37.5720164,127.0050075
63,2022-08-29,종로구,59,37.5720164,127.0050075
64,2022-08-28,종로구,142,37.5720164,127.0050075
65,2022-08-27,종로구,183,37.5720164,127.0050075
66,2022-08-26,종로구,216,37.5720164,127.0050075
67,2022-08-25,종로구,221,37.5720164,127.0050075
68,2022-08-24,종로구,270,37.5720164,127.0050075
